ts_utc,market,team,price,bid,ask,last_trade,volume,liquidity,closed
2026-06-12T11:39:29+00:00,group_winner,South Africa,0.009,0.008,0.01,0.008,334691.85770600004,52053.70591,False
2026-06-12T11:39:29+00:00,group_winner,Czech Republic,0.0375,0.037,0.038,0.037,71219.37115600004,57557.29191,False
2026-06-12T11:39:29+00:00,group_winner,Canada,0.305,0.3,0.31,0.3,68114.02489099994,74903.8276,False
2026-06-12T11:39:29+00:00,group_winner,Qatar,0.0215,0.021,0.022,0.021,79210.25372899999,89451.2625,False
2026-06-12T11:39:29+00:00,group_winner,Bosnia and Herzegovina,0.125,0.12,0.13,0.13,100078.20092899996,87337.4774,False
2026-06-12T11:39:29+00:00,group_winner,Switzerland,0.565,0.56,0.57,0.57,149749.51822299973,89110.9439,False
2026-06-12T11:39:29+00:00,group_winner,Scotland,0.073,0.07,0.076,0.075,217814.18444599997,82258.92194,False
2026-06-12T11:39:29+00:00,group_winner,Brazil,0.72,0.71,0.73,0.73,153076.70570500055,65897.3696,False
2026-06-12T11:39:29+00:00,group_winner,Haiti,0.012,0.009,0.015,0.013,61593.20481600001,65334.52298,False
2026-06-12T11:39:29+00:00,group_winner,Morocco,0.215,0.21,0.22,0.22,151687.96856500034,63556.2722,False
2026-06-12T11:39:29+00:00,group_winner,Paraguay,0.165,0.16,0.17,0.17,80329.81011899991,42863.3846,False
2026-06-12T11:39:29+00:00,group_winner,Turkey,0.385,0.38,0.39,0.39,205376.2881330003,23453.1716,False
2026-06-12T11:39:29+00:00,group_winner,United States,0.375,0.37,0.38,0.37,126773.3668059986,102896.0308,False
2026-06-12T11:39:29+00:00,group_winner,Australia,0.094,0.093,0.095,0.093,57791.96223699989,67860.459,False
2026-06-12T11:39:29+00:00,group_winner,Curaçao,0.0045,0.004,0.005,0.004,43208.44067500004,46217.67806,False
2026-06-12T11:39:29+00:00,group_winner,Ecuador,0.215,0.21,0.22,0.22,47873.53850499997,66507.5923,False
2026-06-12T11:39:29+00:00,group_winner,Germany,0.665,0.66,0.67,0.67,144379.70883800014,39169.1492,False
